t,episode,true_task_idx,pred_task_idx,exec_task_idx,x_before,vx_before,x_after,vx_after,true_goal
0,0,1,1,1,-0.0125022821188848,-0.0584368019781924,0.0047720122789314,0.4890294089227223,-9.02
1,0,1,0,1,0.0047720122789314,0.4890294089227223,0.0197742547197853,0.1529606040217472,-9.02
2,0,1,0,1,0.0197742547197853,0.1529606040217472,-1.0633101579841255,-1.872974438318924,-9.02
3,0,1,1,1,-1.0633101579841255,-1.872974438318924,-3.336237402662686,-1.8491418131658623,-9.02
4,0,1,1,1,-3.336237402662686,-1.8491418131658623,-4.43667125717137,-2.554754909512677,-9.02
5,0,1,1,1,-4.43667125717137,-2.554754909512677,-4.524763318146316,-1.3620800984398398,-9.02
6,0,1,3,1,-4.524763318146316,-1.3620800984398398,-4.595942827738122,-1.6618058901040236,-9.02
7,0,1,1,1,-4.595942827738122,-1.6618058901040236,-4.690628858560832,-2.028547689760606,-9.02
8,0,1,1,1,-4.690628858560832,-2.028547689760606,-6.248207976466521,-2.0752958423536727,-9.02
9,0,1,3,1,-6.248207976466521,-2.0752958423536727,-8.02470016380746,-2.393601206157268,-9.02
10,0,1,1,1,-8.02470016380746,-2.393601206157268,-8.15347444430921,-2.670623052583873,-9.02
11,0,1,3,1,-8.15347444430921,-2.670623052583873,-8.90307718159346,-1.1142564136956257,-9.02
12,0,1,3,1,-8.90307718159346,-1.1142564136956257,-8.908594117640591,0.3566637682750129,-9.02
13,0,1,3,3,-8.908594117640591,0.3566637682750129,-9.138728674881175,-1.5508106711811585,-9.02
14,0,1,3,3,-9.138728674881175,-1.5508106711811585,-9.195796997677194,-0.9987653540962376,-9.02
15,0,1,3,3,-9.195796997677194,-0.9987653540962376,-9.76895772369146,-2.276043281492673,-9.02
16,0,1,3,3,-9.76895772369146,-2.276043281492673,-11.911476378314669,-3.027561634760503,-9.02
17,0,1,3,3,-11.911476378314669,-3.027561634760503,-13.865130291884798,-2.284623285387713,-9.02
18,0,1,3,3,-13.865130291884798,-2.284623285387713,-14.17146061300813,-2.1240526969847124,-9.02
19,0,1,1,3,-14.17146061300813,-2.1240526969847124,-14.286602822193313,-2.590435309711102,-9.02
20,0,1,1,3,-14.286602822193313,-2.590435309711102,-16.568317156455972,-2.6801199841517453,-9.02
21,0,1,3,3,-16.568317156455972,-2.6801199841517453,-16.718394377373265,-3.1390888197501146,-9.02
22,0,1,1,3,-16.718394377373265,-3.1390888197501146,-17.893468996694242,-2.3809723810866434,-9.02
23,0,1,1,3,-17.893468996694242,-2.3809723810866434,-18.020088131545663,-2.738562924999594,-9.02
24,0,1,1,1,-18.020088131545663,-2.738562924999594,-18.87008579467624,0.1653509300294596,-9.02
25,0,1,3,1,-18.87008579467624,0.1653509300294596,-18.845116645077887,0.4042197291090673,-9.02
26,0,1,3,1,-18.845116645077887,0.4042197291090673,-18.32546074448283,1.2020145776922389,-9.02
27,0,1,3,3,-18.32546074448283,1.2020145776922389,-18.302757120348254,0.1957729367925995,-9.02
28,0,1,3,3,-18.302757120348254,0.1957729367925995,-18.48719374660997,-1.4937022527742083,-9.02
29,0,1,1,3,-18.48719374660997,-1.4937022527742083,-18.57125304830045,-1.93857391030639,-9.02
30,0,1,1,3,-18.57125304830045,-1.93857391030639,-18.679426835441348,-2.114684015096526,-9.02
31,0,1,1,1,-18.679426835441348,-2.114684015096526,-18.80078278974364,-2.4862455692243293,-9.02
32,0,1,1,1,-18.80078278974364,-2.4862455692243293,-18.91386644738212,-2.055396060577248,-9.02
33,0,1,1,1,-18.91386644738212,-2.055396060577248,-19.15179937963915,-0.0618555683377091,-9.02
34,0,1,1,1,-19.15179937963915,-0.0618555683377091,-19.147476298833038,0.093377551611974,-9.02
35,0,1,1,1,-19.147476298833038,0.093377551611974,-18.833686484071357,0.4635953403207201,-9.02
36,0,1,1,1,-18.833686484071357,0.4635953403207201,-18.802449623326638,0.622648719834212,-9.02
37,0,1,1,1,-18.802449623326638,0.622648719834212,-18.764206212033866,0.7769296776776526,-9.02
38,0,1,1,1,-18.764206212033866,0.7769296776776526,-18.75897187882193,-0.077487602295995,-9.02
