t,episode,true_task_idx,pred_task_idx,exec_task_idx,x_before,vx_before,x_after,vx_after,true_goal
0,0,1,1,1,0.0468083755915725,-0.1050031322801391,-0.1189974569386975,-1.8349511595356265,-9.02
1,0,1,1,1,-0.1189974569386975,-1.8349511595356265,-0.152287675710403,-0.161995436847713,-9.02
2,0,1,0,1,-0.152287675710403,-0.161995436847713,-0.8847211811478801,-1.417919740494696,-9.02
3,0,1,1,1,-0.8847211811478801,-1.417919740494696,-0.9948463532579872,-2.5485390638221794,-9.02
4,0,1,1,1,-0.9948463532579872,-2.5485390638221794,-1.0566694164002304,-0.6838042114659255,-9.02
5,0,1,1,1,-1.0566694164002304,-0.6838042114659255,-1.1222692630159825,-1.6892205330830856,-9.02
6,0,1,1,1,-1.1222692630159825,-1.6892205330830856,-2.533459099703129,-0.7746983811692445,-9.02
7,0,1,1,1,-2.533459099703129,-0.7746983811692445,-2.591666887746653,-1.4500907268614838,-9.02
8,0,1,1,1,-2.591666887746653,-1.4500907268614838,-2.6899673571234146,-2.053425515574743,-9.02
9,0,1,1,1,-2.6899673571234146,-2.053425515574743,-4.016068340581336,-1.8462110160889549,-9.02
10,0,1,1,1,-4.016068340581336,-1.8462110160889549,-4.359280665559221,-1.5420579217885058,-9.02
11,0,1,1,1,-4.359280665559221,-1.5420579217885058,-4.465518363829919,-2.42412429087861,-9.02
12,0,1,1,1,-4.465518363829919,-2.42412429087861,-4.683382037106885,-1.633018262952642,-9.02
13,0,1,1,1,-4.683382037106885,-1.633018262952642,-4.743438609462875,-0.9763079585858409,-9.02
14,0,1,1,1,-4.743438609462875,-0.9763079585858409,-4.81675610402864,-1.6345460799845348,-9.02
15,0,1,1,1,-4.81675610402864,-1.6345460799845348,-4.974874120442344,-1.0016680354181324,-9.02
16,0,1,1,1,-4.974874120442344,-1.0016680354181324,-5.333794015650889,-1.149663582725114,-9.02
17,0,1,1,1,-5.333794015650889,-1.149663582725114,-5.892933309930189,-1.477598081317043,-9.02
18,0,1,1,1,-5.892933309930189,-1.477598081317043,-5.976119481292256,-1.81703728589334,-9.02
19,0,1,1,1,-5.976119481292256,-1.81703728589334,-7.207265544773367,-2.8438972543425027,-9.02
20,0,1,1,1,-7.207265544773367,-2.8438972543425027,-8.436537915152341,0.6061446798417225,-9.02
21,0,1,1,1,-8.436537915152341,0.6061446798417225,-9.133953356357129,-0.5786683408534647,-9.02
22,0,1,1,1,-9.133953356357129,-0.5786683408534647,-9.230913855126662,0.0442114966312995,-9.02
23,0,1,1,1,-9.230913855126662,0.0442114966312995,-9.242968715621322,-0.283673912977378,-9.02
24,0,1,1,1,-9.242968715621322,-0.283673912977378,-9.249601255981306,-0.0513386483564925,-9.02
25,0,1,1,1,-9.249601255981306,-0.0513386483564925,-9.230022342069311,0.4020563651650483,-9.02
26,0,1,1,1,-9.230022342069311,0.4020563651650483,-9.205330995404593,0.4195352853886689,-9.02
27,0,1,1,1,-9.205330995404593,0.4195352853886689,-9.080879694763253,-0.0768892759900062,-9.02
28,0,1,1,1,-9.080879694763253,-0.0768892759900062,-9.035994340277757,0.1569768751040754,-9.02
29,0,1,1,1,-9.035994340277757,0.1569768751040754,-9.001413613652593,0.8224337804170828,-9.02
30,0,1,1,1,-9.001413613652593,0.8224337804170828,-8.978550454005681,0.1334838770078285,-9.02
31,0,1,1,1,-8.978550454005681,0.1334838770078285,-8.976100594365871,0.005307935980342,-9.02
32,0,1,1,1,-8.976100594365871,0.005307935980342,-9.012733048761731,-0.9686799858906832,-9.02
33,0,1,1,1,-9.012733048761731,-0.9686799858906832,-9.031558696534177,-0.2447001623904613,-9.02
34,0,1,1,1,-9.031558696534177,-0.2447001623904613,-9.079806019198683,-0.2204155532892661,-9.02
35,0,1,1,1,-9.079806019198683,-0.2204155532892661,-9.074508651120157,0.17759095409057,-9.02
36,0,1,1,1,-9.074508651120157,0.17759095409057,-9.102757320735217,-0.7549140478441277,-9.02
37,0,1,1,1,-9.102757320735217,-0.7549140478441277,-9.198569464480212,0.1318063281090462,-9.02
38,0,1,1,1,-9.198569464480212,0.1318063281090462,-9.125786785383989,-0.5829086364349171,-9.02
39,0,1,1,1,-9.125786785383989,-0.5829086364349171,-9.139637978016756,-0.0112106161481523,-9.02
40,0,1,1,1,-9.139637978016756,-0.0112106161481523,-9.127505402729708,0.4307270522575377,-9.02
41,0,1,1,1,-9.127505402729708,0.4307270522575377,-9.157752945353868,0.6090457215545104,-9.02
42,0,1,1,1,-9.157752945353868,0.6090457215545104,-9.173044067700166,1.5176159983123914,-9.02
43,0,1,1,1,-9.173044067700166,1.5176159983123914,-9.227032289227225,0.4368850226291144,-9.02
44,0,1,1,1,-9.227032289227225,0.4368850226291144,-9.211128536718332,0.1638917491865364,-9.02
