t,episode,true_task_idx,pred_task_idx,exec_task_idx,x_before,vx_before,x_after,vx_after,true_goal
0,0,1,1,1,0.008890068857145,-0.2101904655205713,-0.2150689449625494,-2.239590138196945,-10.0
1,0,1,1,1,-0.2150689449625494,-2.239590138196945,-0.6494613077955725,-4.343923628330231,-10.0
2,0,1,1,1,-0.6494613077955725,-4.343923628330231,-1.0892271783667091,-4.397658705711365,-10.0
3,0,1,1,1,-1.0892271783667091,-4.397658705711365,-1.5342189755754951,-4.44991797208786,-10.0
4,0,1,1,1,-1.5342189755754951,-4.44991797208786,-1.9809781399088384,-4.467591643333435,-10.0
5,0,1,1,1,-1.9809781399088384,-4.467591643333435,-2.4174792852716926,-4.36501145362854,-10.0
6,0,1,1,1,-2.4174792852716926,-4.36501145362854,-2.8700102057772163,-4.525309205055237,-10.0
7,0,1,1,1,-2.8700102057772163,-4.525309205055237,-3.3122110750990394,-4.422008693218231,-10.0
8,0,1,1,1,-3.3122110750990394,-4.422008693218231,-3.7539475646334175,-4.4173648953437805,-10.0
9,0,1,1,1,-3.7539475646334175,-4.4173648953437805,-4.190566578181315,-4.366190135478973,-10.0
10,0,1,1,1,-4.190566578181315,-4.366190135478973,-4.623853543074656,-4.332869648933411,-10.0
11,0,1,1,1,-4.623853543074656,-4.332869648933411,-5.047466048272181,-4.23612505197525,-10.0
12,0,1,1,1,-5.047466048272181,-4.23612505197525,-5.476470181019831,-4.2900413274765015,-10.0
13,0,1,1,1,-5.476470181019831,-4.2900413274765015,-5.8940911975222114,-4.176210165023804,-10.0
14,0,1,1,1,-5.8940911975222114,-4.176210165023804,-6.198167034657526,-3.0407583713531494,-10.0
15,0,1,1,1,-6.198167034657526,-3.0407583713531494,-6.487869926960993,-2.897028923034668,-10.0
16,0,1,1,1,-6.487869926960993,-2.897028923034668,-6.851284095318842,-3.634141683578491,-10.0
17,0,1,1,1,-6.851284095318842,-3.634141683578491,-7.125598975689936,-2.743148803710937,-10.0
18,0,1,1,1,-7.125598975689936,-2.743148803710937,-7.508827933342982,-3.832289576530457,-10.0
19,0,1,1,1,-7.508827933342982,-3.832289576530457,-7.817152478964854,-3.0832454562187195,-10.0
20,0,1,1,1,-7.817152478964854,-3.0832454562187195,-8.083434500964213,-2.6628202199935918,-10.0
21,0,1,1,1,-8.083434500964213,-2.6628202199935918,-8.163741366239119,-0.8030686527490616,-10.0
22,0,1,1,1,-8.163741366239119,-0.8030686527490616,-8.326399849029112,-1.6265848278999329,-10.0
23,0,1,1,1,-8.326399849029112,-1.6265848278999329,-8.363266539992619,-0.368666909635067,-10.0
24,0,1,1,1,-8.363266539992619,-0.368666909635067,-8.482716744067002,-1.1945020407438278,-10.0
25,0,1,1,1,-8.482716744067002,-1.1945020407438278,-8.504071251721907,-0.2135450765490532,-10.0
26,0,1,1,1,-8.504071251721907,-0.2135450765490532,-8.681491793366003,-1.7742054164409635,-10.0
27,0,1,1,1,-8.681491793366003,-1.7742054164409635,-8.704223332227993,-0.2273153886198997,-10.0
28,0,1,1,1,-8.704223332227993,-0.2273153886198997,-8.692644130671251,0.1157920155674219,-10.0
29,0,1,1,1,-8.692644130671251,0.1157920155674219,-8.818347137654055,-1.2570300698280334,-10.0
30,0,1,1,1,-8.818347137654055,-1.2570300698280334,-9.103169780457248,-2.8482264280319214,-10.0
31,0,1,1,1,-9.103169780457248,-2.8482264280319214,-9.052042171591747,0.511276088654995,-10.0
32,0,1,1,1,-9.052042171591747,0.511276088654995,-9.148417935008036,-0.9637576341629028,-10.0
