t,episode,true_task_idx,x_before,vx_before,true_goal
600,6,3,0.0355692616466302,-0.057612264955606,-2.35
601,6,3,0.0896420413524434,0.5574123723113706,-2.35
602,6,3,-0.3250253639299125,-1.2224097459981829,-2.35
603,6,3,-0.3740709545472513,-0.9912725156663572,-2.35
604,6,3,-0.867050217266646,-0.5502753839234036,-2.35
605,6,3,-0.9187544072640876,-0.9929650862933804,-2.35
606,6,3,-0.9735311739849464,-1.0508511905216282,-2.35
607,6,3,-1.2328344469961157,-0.1918699725252846,-2.35
608,6,3,-1.2641023737235095,-0.8337582432016731,-2.35
609,6,3,-1.2916295051568454,-0.2558561864433604,-2.35
610,6,3,-1.270558573876862,0.7722557969031264,-2.35
611,6,3,-1.2149116825034116,1.1339124693545295,-2.35
612,6,3,-1.1467636233192666,0.4439289950583817,-2.35
613,6,3,-1.1371309636272509,0.1314835702293063,-2.35
614,6,3,-1.1112160850304258,0.69161681730231,-2.35
615,6,3,-0.8682381055205667,-0.3153002860555715,-2.35
616,6,3,-0.8887551839272874,-0.2447632132082842,-2.35
617,6,3,-0.8535455844532782,1.059313894855712,-2.35
618,6,3,-0.7897848493588039,0.9241036958810066,-2.35
619,6,3,-0.7395439028700286,0.857778231741611,-2.35
620,6,3,-0.3582582551245883,1.5938564902162384,-2.35
621,6,3,-0.2710920469068095,1.7113937617828607,-2.35
622,6,3,-0.2238520466252646,0.5646731822997334,-2.35
623,6,3,-0.2300905220756549,-0.1937513148318635,-2.35
624,6,3,-0.1821674581423248,1.4711155718838678,-2.35
625,6,3,-0.1287222482748857,0.6943518314227058,-2.35
626,6,3,-0.0985343851128083,0.5261393529821856,-2.35
627,6,3,-0.0418226714142385,1.4395558825351142,-2.35
628,6,3,0.349238539259358,-0.2429132898908503,-2.35
629,6,3,0.5773872006084617,0.3063628363390429,-2.35
630,6,3,0.6008214288620557,0.4944168382987343,-2.35
631,6,3,0.6015199661140866,-0.146689047950907,-2.35
632,6,3,0.75334043314326,-0.03128454435156,-2.35
633,6,3,1.1706974094668514,0.8827678909137137,-2.35
634,6,3,1.173852210063466,-0.261506257407218,-2.35
635,6,3,1.173369930096018,0.1728509051368711,-2.35
636,6,3,1.1827993899515228,0.1458369915542147,-2.35
637,6,3,1.1084093869500409,-0.6404725193969502,-2.35
638,6,3,0.722289033356978,-0.5365904449549952,-2.35
639,6,3,-0.7028436310084171,-1.7029227547215533,-2.35
640,6,3,-1.0549742324989488,-1.97243227099053,-2.35
641,6,3,-1.1435197726277524,-1.6958202148206096,-2.35
642,6,3,-1.2494815164979798,-2.254899133780832,-2.35
643,6,3,-1.579232380105741,0.7394159963930391,-2.35
644,6,3,-1.482875276730388,-0.381076031042894,-2.35
645,6,3,-1.426930897058483,0.2351004759009568,-2.35
646,6,3,-1.4883755840984036,0.0772704117037923,-2.35
647,6,3,-1.5076622960264852,-0.3490236372440641,-2.35
648,6,3,-1.516226432892374,0.0496730200350401,-2.35
649,6,3,-1.4819615930102306,0.7914731087659138,-2.35
650,6,3,-1.387387265681681,-0.0408684672000643,-2.35
651,6,3,-1.2856317230128456,0.2120108512014529,-2.35
652,6,3,-1.2251746058788002,-0.669968461342061,-2.35
653,6,3,-1.244651746878697,-0.3127146511837114,-2.35
654,6,3,-1.4030791542873742,0.4767872679354284,-2.35
655,6,3,-1.3786884769004015,-0.1435501224050769,-2.35
656,6,3,-1.394346484011058,-0.3412906427165724,-2.35
657,6,3,-1.372685363425285,-0.1705128228881736,-2.35
658,6,3,-1.3996004120517291,-0.6752628691453888,-2.35
659,6,3,-1.5520949675582822,-0.4240007679631628,-2.35
660,6,3,-1.588682518162607,-0.6532494048977272,-2.35
661,6,3,-1.8772865053505288,-1.182290643634866,-2.35
662,6,3,-1.868344418924648,-0.2888796363618423,-2.35
663,6,3,-1.8463415789788329,0.6978690668208359,-2.35
664,6,3,-1.7055480228111564,0.2556715441442246,-2.35
665,6,3,-1.7106199535421351,-0.3019662988243001,-2.35
666,6,3,-1.7263675268490934,-0.1039139734717801,-2.35
667,6,3,-1.729440395028898,-0.0014082675003297,-2.35
668,6,3,-1.7789147281645694,0.1608276669711635,-2.35
669,6,3,-1.714510348080444,-0.62166240964451,-2.35
670,6,3,-1.7231639380037524,0.0577319379680868,-2.35
671,6,3,-1.7514684669706786,-0.9270425253444072,-2.35
672,6,3,-1.819806226267974,-1.33986762334774,-2.35
