t,episode,true_task_idx,pred_task_idx,exec_task_idx,x_before,vx_before,x_after,vx_after,true_goal
0,0,1,0,0,0.0306151490093265,-0.0226168064271991,0.0560465663486865,0.6757602023426564,-9.02
1,0,1,0,0,0.0560465663486865,0.6757602023426564,-0.260334334267404,0.2804055029196185,-9.02
2,0,1,0,0,-0.260334334267404,0.2804055029196185,-0.2617987884147439,-0.314355940994987,-9.02
3,0,1,0,0,-0.2617987884147439,-0.314355940994987,-0.7021841577713777,-0.4679238595786141,-9.02
4,0,1,0,0,-0.7021841577713777,-0.4679238595786141,-1.0121840552484602,0.0692704450430006,-9.02
5,0,1,0,0,-1.0121840552484602,0.0692704450430006,-1.054613193837646,-1.3309209351374789,-9.02
6,0,1,0,0,-1.054613193837646,-1.3309209351374789,-1.4472579508084058,-0.2016829155255259,-9.02
7,0,1,0,0,-1.4472579508084058,-0.2016829155255259,-1.4740669858228512,-0.6368207444093056,-9.02
8,0,1,3,0,-1.4740669858228512,-0.6368207444093056,-1.7477987963037764,0.2315682927808536,-9.02
9,0,1,1,0,-1.7477987963037764,0.2315682927808536,-1.8278808604415884,0.2368048763068704,-9.02
10,0,1,1,0,-1.8278808604415884,0.2368048763068704,-1.844400285463492,-0.5237885730673589,-9.02
11,0,1,1,1,-1.844400285463492,-0.5237885730673589,-1.9112659828337664,-0.7754709541229134,-9.02
12,0,1,3,1,-1.9112659828337664,-0.7754709541229134,-1.9713742124921407,0.5832353170480142,-9.02
13,0,1,3,1,-1.9713742124921407,0.5832353170480142,-1.9010730273493808,-0.0880873456093908,-9.02
14,0,1,3,3,-1.9010730273493808,-0.0880873456093908,-1.5679535490880578,0.4537886795979681,-9.02
15,0,1,1,3,-1.5679535490880578,0.4537886795979681,-1.557059511515524,0.0647563938140567,-9.02
16,0,1,1,3,-1.557059511515524,0.0647563938140567,-1.55264627417081,0.1176568787463108,-9.02
17,0,1,1,1,-1.55264627417081,0.1176568787463108,-1.5457743012003895,0.1175688940684458,-9.02
18,0,1,3,1,-1.5457743012003895,0.1175688940684458,-1.546784445817935,0.0455723967833757,-9.02
19,0,1,3,1,-1.546784445817935,0.0455723967833757,-1.3173660436869004,-0.1880552654228214,-9.02
20,0,1,3,3,-1.3173660436869004,-0.1880552654228214,-1.379222078506353,-1.4014213042723258,-9.02
21,0,1,3,3,-1.379222078506353,-1.4014213042723258,-1.42751169706451,-0.6209439503408398,-9.02
22,0,1,3,3,-1.42751169706451,-0.6209439503408398,-1.3938097647419558,-0.1465106850876462,-9.02
23,0,1,3,3,-1.3938097647419558,-0.1465106850876462,-1.3744125782577088,-0.2209789155473434,-9.02
24,0,1,3,3,-1.3744125782577088,-0.2209789155473434,-1.3714865643087537,0.1086586946057534,-9.02
25,0,1,3,3,-1.3714865643087537,0.1086586946057534,-1.409580584835648,-0.0913146298140242,-9.02
26,0,1,3,3,-1.409580584835648,-0.0913146298140242,-1.407289607586007,0.0972474891079371,-9.02
27,0,1,3,3,-1.407289607586007,0.0972474891079371,-1.4041644748612334,-0.0247311031101571,-9.02
28,0,1,1,3,-1.4041644748612334,-0.0247311031101571,-1.4099288731014283,-0.146387111422534,-9.02
29,0,1,1,3,-1.4099288731014283,-0.146387111422534,-1.4118446968048712,0.3955360033439244,-9.02
30,0,1,3,3,-1.4118446968048712,0.3955360033439244,-1.4089252394928922,0.0272379418973778,-9.02
31,0,1,3,3,-1.4089252394928922,0.0272379418973778,-1.4408160276350872,-0.0145831349693056,-9.02
32,0,1,1,3,-1.4408160276350872,-0.0145831349693056,-1.4659049946821472,-0.5467066816455693,-9.02
33,0,1,1,3,-1.4659049946821472,-0.5467066816455693,-1.4784386005828347,-0.2796038015626301,-9.02
34,0,1,1,1,-1.4784386005828347,-0.2796038015626301,-1.571678090687041,0.2236937395595954,-9.02
35,0,1,3,1,-1.571678090687041,0.2236937395595954,-1.5568396640670203,0.2286154352899022,-9.02
36,0,1,1,1,-1.5568396640670203,0.2286154352899022,-1.3766773242816075,0.4191293942919495,-9.02
37,0,1,1,1,-1.3766773242816075,0.4191293942919495,-1.3706522574986284,0.0193040805288884,-9.02
38,0,1,1,1,-1.3706522574986284,0.0193040805288884,-1.2665070464813943,0.4067960669589757,-9.02
39,0,1,1,1,-1.2665070464813943,0.4067960669589757,-1.2805893584095018,-0.3946984499977263,-9.02
40,0,1,3,1,-1.2805893584095018,-0.3946984499977263,-1.2678326669345028,0.5123153457720196,-9.02
41,0,1,1,1,-1.2678326669345028,0.5123153457720196,-1.2481547145149807,0.369498019102118,-9.02
42,0,1,1,1,-1.2481547145149807,0.369498019102118,-1.2180792414748374,0.8123342138869796,-9.02
43,0,1,1,1,-1.2180792414748374,0.8123342138869796,-0.9705821393064096,-0.0544515635356793,-9.02
44,0,1,1,1,-0.9705821393064096,-0.0544515635356793,-1.0081318979748035,-0.9266253716241996,-9.02
45,0,1,1,1,-1.0081318979748035,-0.9266253716241996,-0.7469854971875249,-0.0009575906534001,-9.02
46,0,1,1,1,-0.7469854971875249,-0.0009575906534001,-0.7231748081087677,0.6484202568932629,-9.02
47,0,1,1,1,-0.7231748081087677,0.6484202568932629,-0.524304427945202,0.4774992263103607,-9.02
48,0,1,1,1,-0.524304427945202,0.4774992263103607,-0.2845671382999239,0.4901881042570867,-9.02
49,0,1,1,1,-0.2845671382999239,0.4901881042570867,-0.2446102331024032,0.907873293122246,-9.02
