t,episode,true_task_idx,pred_task_idx,exec_task_idx,x_before,vx_before,x_after,vx_after,true_goal
0,0,1,1,1,0.0823063731446596,-0.0543581052701914,0.1994358296060249,1.1139128056968812,-9.02
1,0,1,2,1,0.1994358296060249,1.1139128056968812,0.2011372888183404,-0.3490004048837163,-9.02
2,0,1,1,1,0.2011372888183404,-0.3490004048837163,0.2390016469486645,1.015657265449742,-9.02
3,0,1,2,1,0.2390016469486645,1.015657265449742,0.3033723021191113,1.2618091447706157,-9.02
4,0,1,2,1,0.3033723021191113,1.2618091447706157,0.4108945175631184,0.9956735208790276,-9.02
5,0,1,2,2,0.4108945175631184,0.9956735208790276,0.4192254355091173,-0.1820021363877388,-9.02
6,0,1,2,2,0.4192254355091173,-0.1820021363877388,0.4120637809953013,-0.0597272690727665,-9.02
7,0,1,2,2,0.4120637809953013,-0.0597272690727665,1.5504280238190185,1.9491354155406853,-9.02
8,0,1,2,2,1.5504280238190185,1.9491354155406853,1.8785038635721647,2.0428281437046447,-9.02
9,0,1,0,2,1.8785038635721647,2.0428281437046447,1.973149416684276,1.7173059837714302,-9.02
10,0,1,0,2,1.973149416684276,1.7173059837714302,3.2567141331584017,0.8538529477870401,-9.02
11,0,1,0,0,3.2567141331584017,0.8538529477870401,3.325774390519696,1.376947980782238,-9.02
12,0,1,0,0,3.325774390519696,1.376947980782238,3.377159090819019,-0.5622500884581969,-9.02
13,0,1,0,0,3.377159090819019,-0.5622500884581969,2.686107758105764,-0.1876809978713131,-9.02
14,0,1,2,0,2.686107758105764,-0.1876809978713131,2.6845804737243912,-0.369100581171899,-9.02
15,0,1,2,0,2.6845804737243912,-0.369100581171899,2.525474068518152,-0.3551907168776076,-9.02
16,0,1,2,2,2.525474068518152,-0.3551907168776076,2.526854616006991,0.0240701511995361,-9.02
17,0,1,2,2,2.526854616006991,0.0240701511995361,2.529774618796286,-0.083538596268392,-9.02
18,0,1,2,2,2.529774618796286,-0.083538596268392,2.495812246363523,-0.9235974616686992,-9.02
19,0,1,2,2,2.495812246363523,-0.9235974616686992,2.4527731053166155,-0.7983426275711702,-9.02
20,0,1,2,2,2.4527731053166155,-0.7983426275711702,2.360482433352967,-0.8543896438097144,-9.02
21,0,1,2,2,2.360482433352967,-0.8543896438097144,2.318156997147055,-0.8088204829246959,-9.02
22,0,1,2,2,2.318156997147055,-0.8088204829246959,2.259114668285516,-0.6943420084525396,-9.02
23,0,1,2,2,2.259114668285516,-0.6943420084525396,2.241482299328465,-0.0847790986730654,-9.02
24,0,1,2,2,2.241482299328465,-0.0847790986730654,2.2448049636138387,0.0757139271188298,-9.02
25,0,1,0,2,2.2448049636138387,0.0757139271188298,2.2300353043871195,-0.3969434558469336,-9.02
26,0,1,0,2,2.2300353043871195,-0.3969434558469336,2.626831948076823,1.0196865665087638,-9.02
27,0,1,0,0,2.626831948076823,1.0196865665087638,2.945988573824767,-0.5015956697402295,-9.02
28,0,1,0,0,2.945988573824767,-0.5015956697402295,3.006885863507349,0.2531851148531803,-9.02
29,0,1,0,0,3.006885863507349,0.2531851148531803,3.083638869937122,0.5601754780095181,-9.02
30,0,1,0,0,3.083638869937122,0.5601754780095181,3.1624897430379577,0.3511570980016444,-9.02
31,0,1,0,0,3.1624897430379577,0.3511570980016444,3.159976529180331,-0.1902158060226398,-9.02
