t,episode,true_task_idx,x_before,vx_before,true_goal
900,9,2,-0.0069346967140638,-0.0012242772693883,1.45
901,9,2,0.2800004022073852,0.1448510484461665,1.45
902,9,2,0.5861059987717405,0.872049058614691,1.45
903,9,2,0.6154134040903345,0.5213261658209876,1.45
904,9,2,1.2976231487069132,1.164083718981409,1.45
905,9,2,2.299025318951702,1.485447595785915,1.45
906,9,2,3.41845405790155,1.8793372044612344,1.45
907,9,2,3.4972525978454505,1.4754908270644862,1.45
908,9,2,4.0012303704311165,0.6351211724259156,1.45
909,9,2,4.128278205662816,0.1391153303392951,1.45
910,9,2,4.151011364366756,0.6108414456778716,1.45
911,9,2,4.366291055673631,-0.2092384573392145,1.45
912,9,2,4.378751397957605,-0.7988122891435542,1.45
913,9,2,4.411691990994947,0.8802283214080193,1.45
914,9,2,4.4320405297295,0.1679098011212622,1.45
915,9,2,4.456105763670614,0.4675919038682594,1.45
916,9,2,4.468648190596997,0.1250763728420848,1.45
917,9,2,4.625767060657783,0.4292673803621993,1.45
918,9,2,4.716806141250291,-0.069645777184652,1.45
919,9,2,4.941411237043812,0.5275518686035282,1.45
920,9,2,4.950412092707105,-0.0034821958522899,1.45
921,9,2,4.9500077573464125,-0.0145732394246271,1.45
922,9,2,4.940289177071816,-0.3105165644497399,1.45
923,9,2,5.03495699272678,0.5228286961187574,1.45
924,9,2,5.026850643187733,-0.4059078406010643,1.45
925,9,2,5.027082917407627,0.2215286064809524,1.45
926,9,2,5.037331878184043,0.0893828034423567,1.45
927,9,2,5.025042406331308,-0.0300523971167697,1.45
928,9,2,5.060616521098655,0.847008251993253,1.45
929,9,2,5.273562951201886,0.2428310285910913,1.45
930,9,2,5.254986856202735,-0.5343866476866258,1.45
931,9,2,5.254784517158478,0.2061119474689514,1.45
932,9,2,5.289651347883098,0.7956403579748959,1.45
933,9,2,5.299402404716815,-0.1624875094887463,1.45
934,9,2,5.304931988106714,-0.2640349834057109,1.45
935,9,2,5.407797997221942,0.017505113283187,1.45
936,9,2,5.587960535350201,0.2183322905353546,1.45
937,9,2,5.574024847283386,-0.4294581301014241,1.45
938,9,2,5.570666909514441,0.4452495178495821,1.45
939,9,2,5.696331980083332,-0.3854947358466435,1.45
940,9,2,5.752243225645117,-0.1653942290712791,1.45
941,9,2,5.73650787720165,-0.4458731199002061,1.45
942,9,2,5.768618661710431,0.3180027259410259,1.45
943,9,2,5.7896975573404434,0.5486866969077654,1.45
944,9,2,5.803261509169031,0.1186135039924223,1.45
945,9,2,5.832300863936045,0.2494901124251648,1.45
946,9,2,5.8529018372357,0.3570881223701002,1.45
947,9,2,5.845553503373093,-0.4442611967275086,1.45
948,9,2,5.847652782887467,0.318051240972868,1.45
949,9,2,5.899713293610692,0.1953656402971219,1.45
950,9,2,5.931285462461496,0.74439395151591,1.45
951,9,2,5.934985107582978,-0.4667835208958836,1.45
952,9,2,5.980139456708688,-0.208119807705101,1.45
953,9,2,6.012032172675492,0.6740190491562775,1.45
954,9,2,5.9965460936323165,-0.6521347213633244,1.45
955,9,2,5.999408920833868,0.8877415833497823,1.45
956,9,2,6.0509969527581,0.3810097326596742,1.45
957,9,2,6.066837068969635,0.2207031693039518,1.45
958,9,2,6.133516689251322,0.62632693147971,1.45
959,9,2,6.111634794023499,-1.087106919735317,1.45
960,9,2,6.100438100331415,0.1994629974272598,1.45
961,9,2,6.118599073304246,0.363962657201602,1.45
962,9,2,6.1317227369643765,0.1582063544717842,1.45
963,9,2,6.131817570979317,-0.1169778141887752,1.45
964,9,2,6.119380659536908,-0.1956703619232785,1.45
965,9,2,6.194693369601577,1.1369623795741657,1.45
966,9,2,6.200529499158298,-0.2800903270572629,1.45
967,9,2,6.200331855706398,-0.1710572613812958,1.45
968,9,2,6.227564692643485,0.6880724955107861,1.45
969,9,2,6.245295299619282,0.0900399538895337,1.45
970,9,2,6.252476409838377,0.3956565530820257,1.45
971,9,2,6.293386089674037,0.2644868734642011,1.45
972,9,2,6.296518714493444,-0.0049700547706747,1.45
973,9,2,6.249227841525584,-0.0737554627627708,1.45
974,9,2,6.197658620380953,0.2268297746620625,1.45
975,9,2,6.216976331483817,0.327260586513557,1.45
976,9,2,6.232186686769558,0.3386615756837938,1.45
977,9,2,6.252059052738203,0.0590631870993283,1.45
978,9,2,6.258000552337473,0.359259922898215,1.45
979,9,2,6.274375428647151,0.0148418747173981,1.45
980,9,2,6.270140433398853,-0.21077339528091,1.45
981,9,2,6.25174423401695,-0.331481666423873,1.45
982,9,2,6.249867852912154,0.1087568012034745,1.45
983,9,2,6.280606194662119,0.6484230493094384,1.45
984,9,2,6.206449176852267,-0.401032661473135,1.45
985,9,2,6.205140684094036,-0.0026172425393469,1.45
986,9,2,6.22147964243997,0.2146071125681931,1.45
987,9,2,6.204050161332194,-0.0252166944468141,1.45
988,9,2,6.194047888241316,-0.3029290392373789,1.45
989,9,2,6.204744827176473,0.3864781700031065,1.45
990,9,2,6.270552663306608,-0.5721479473325446,1.45
991,9,2,6.2658343067812,0.2079671586620991,1.45
992,9,2,6.269079447128787,-0.0129688281401886,1.45
993,9,2,6.216924167139168,0.2691686209624349,1.45
994,9,2,6.220221764316654,0.0343662940637065,1.45
995,9,2,6.210112470104514,-0.215753217015936,1.45
996,9,2,6.228202430775002,0.402563996143201,1.45
997,9,2,6.345723901339723,0.0342283219301572,1.45
998,9,2,6.372975184271727,0.7012511889828216,1.45
999,9,2,6.577382259814274,-0.2437521975943915,1.45
