t,episode,true_task_idx,x_before,vx_before,true_goal
0,11,2,0,0.4854662120342254,2.35
1,11,2,0,-0.7203219532966614,2.35
2,11,2,0,-0.9848945736885072,2.35
3,11,2,0,0.199890449643135,2.35
4,11,2,0,1.914698958396912,2.35
5,11,2,0,1.7971787452697754,2.35
6,11,2,0,0.4971664547920227,2.35
7,11,2,0,0.6633906364440918,2.35
8,11,2,0,0.9011852145195008,2.35
9,11,2,0,1.4516621828079224,2.35
10,11,2,0,1.5679646730422974,2.35
11,11,2,0,1.0609402656555176,2.35
12,11,2,0,1.0589836835861206,2.35
13,11,2,0,1.4684197902679443,2.35
14,11,2,0,2.4732015132904053,2.35
15,11,2,0,2.700972080230713,2.35
16,11,2,0,1.816007256507873,2.35
17,11,2,0,1.2830754518508911,2.35
18,11,2,0,1.5972625017166138,2.35
19,11,2,0,1.76902437210083,2.35
20,11,2,0,2.0003933906555176,2.35
21,11,2,0,1.61643385887146,2.35
22,11,2,0,1.7671512365341189,2.35
23,11,2,0,2.16882061958313,2.35
24,11,2,0,2.710599899291992,2.35
25,11,2,0,1.927123069763184,2.35
26,11,2,0,1.707295060157776,2.35
27,11,2,0,1.52501380443573,2.35
28,11,2,0,1.6623163223266602,2.35
29,11,2,0,1.7063908576965332,2.35
30,11,2,0,1.2930601835250854,2.35
31,11,2,0,1.5307830572128296,2.35
32,11,2,0,2.088674068450928,2.35
33,11,2,0,2.8141677379608154,2.35
34,11,2,0,2.0723214149475098,2.35
35,11,2,0,1.7019497156143188,2.35
36,11,2,0,1.486640691757202,2.35
37,11,2,0,1.65019690990448,2.35
38,11,2,0,1.932813048362732,2.35
39,11,2,0,1.5142685174942017,2.35
40,11,2,0,1.6041407585144043,2.35
41,11,2,0,2.1807377338409424,2.35
42,11,2,0,2.8475260734558105,2.35
43,11,2,0,2.154937267303467,2.35
44,11,2,0,1.774561882019043,2.35
45,11,2,0,1.504425287246704,2.35
46,11,2,0,1.686113953590393,2.35
47,11,2,0,1.8985190391540527,2.35
48,11,2,0,1.4577566385269165,2.35
49,11,2,0,1.6650415658950806,2.35
50,11,2,0,2.2858188152313232,2.35
51,11,2,0,2.9005260467529297,2.35
52,11,2,0,2.1331570148468018,2.35
53,11,2,0,1.6861575841903689,2.35
54,11,2,0,1.478234052658081,2.35
55,11,2,0,1.6582497358322144,2.35
56,11,2,0,1.9105738401412964,2.35
57,11,2,0,1.62050199508667,2.35
58,11,2,0,1.8812075853347776,2.35
59,11,2,0,2.5256478786468506,2.35
60,11,2,0,2.793757438659668,2.35
61,11,2,0,2.0222585201263428,2.35
62,11,2,0,1.3972163200378418,2.35
63,11,2,0,1.5115656852722168,2.35
64,11,2,0,1.608590006828308,2.35
65,11,2,0,1.9006211757659912,2.35
66,11,2,0,1.7806298732757568,2.35
67,11,2,0,1.9465034008026123,2.35
68,11,2,0,2.5161075592041016,2.35
69,11,2,0,2.715727567672729,2.35
70,11,2,0,1.9186830520629885,2.35
71,11,2,0,1.354565978050232,2.35
72,11,2,0,1.4628294706344604,2.35
73,11,2,0,1.7418056726455688,2.35
74,11,2,0,1.9348137378692627,2.35
75,11,2,0,1.6890442371368408,2.35
76,11,2,0,1.819912314414978,2.35
77,11,2,0,2.188239812850952,2.35
78,11,2,0,2.7830374240875244,2.35
79,11,2,0,2.0303666591644287,2.35
80,11,2,0,1.7501600980758667,2.35
81,11,2,0,1.4044208526611328,2.35
82,11,2,0,1.532315015792847,2.35
83,11,2,0,1.7767484188079834,2.35
84,11,2,0,1.5548601150512695,2.35
85,11,2,0,1.725136637687683,2.35
86,11,2,0,2.174282550811768,2.35
87,11,2,0,2.6833181381225586,2.35
88,11,2,0,1.9019155502319336,2.35
89,11,2,0,1.7214038372039795,2.35
90,11,2,0,1.4078319072723389,2.35
91,11,2,0,1.515099287033081,2.35
92,11,2,0,1.6630680561065674,2.35
93,11,2,0,1.4250996112823486,2.35
94,11,2,0,1.7098289728164673,2.35
95,11,2,0,2.305333614349365,2.35
96,11,2,0,2.750321626663208,2.35
97,11,2,0,1.8865891695022583,2.35
98,11,2,0,1.637813925743103,2.35
99,11,2,0,1.3762398958206177,2.35
