t,episode,true_task_idx,x_before,vx_before,true_goal
0,2,0,-0.0054181045852601,0,-3.14
1,2,0,-0.012198875658214,0,-3.14
2,2,0,-0.0413235649466514,0,-3.14
3,2,0,-0.0427804291248321,0,-3.14
4,2,0,0.0206563789397478,0,-3.14
5,2,0,0.0983298793435096,0,-3.14
6,2,0,0.1461461186408996,0,-3.14
7,2,0,0.136389747262001,0,-3.14
8,2,0,0.13304503262043,0,-3.14
9,2,0,0.1617199778556823,0,-3.14
10,2,0,0.1750452071428299,0,-3.14
11,2,0,0.1754806190729141,0,-3.14
12,2,0,0.1616810411214828,0,-3.14
13,2,0,0.1395432949066162,0,-3.14
14,2,0,0.1308335661888122,0,-3.14
15,2,0,0.1191995069384574,0,-3.14
16,2,0,0.0776058062911033,0,-3.14
17,2,0,0.0184670779854059,0,-3.14
18,2,0,-0.0711603313684463,0,-3.14
19,2,0,-0.1525578200817108,0,-3.14
20,2,0,-0.2002165913581848,0,-3.14
21,2,0,-0.2554572522640228,0,-3.14
22,2,0,-0.3543719351291656,0,-3.14
23,2,0,-0.4749964475631714,0,-3.14
24,2,0,-0.6030913591384888,0,-3.14
25,2,0,-0.7028507590293884,0,-3.14
26,2,0,-0.7980864644050598,0,-3.14
27,2,0,-0.9347515106201172,0,-3.14
28,2,0,-1.093066692352295,0,-3.14
29,2,0,-1.260401487350464,0,-3.14
30,2,0,-1.3978455066680908,0,-3.14
31,2,0,-1.5234283208847046,0,-3.14
32,2,0,-1.6713846921920776,0,-3.14
33,2,0,-1.83090615272522,0,-3.14
34,2,0,-1.9947257041931152,0,-3.14
35,2,0,-2.1423182487487797,0,-3.14
36,2,0,-2.2696309089660645,0,-3.14
37,2,0,-2.388871431350708,0,-3.14
38,2,0,-2.5048165321350098,0,-3.14
39,2,0,-2.615957260131836,0,-3.14
40,2,0,-2.711371898651123,0,-3.14
41,2,0,-2.791266679763794,0,-3.14
42,2,0,-2.8698489665985107,0,-3.14
43,2,0,-2.9594147205352783,0,-3.14
44,2,0,-3.045954704284668,0,-3.14
45,2,0,-3.107877492904663,0,-3.14
46,2,0,-3.159905195236206,0,-3.14
47,2,0,-3.207906723022461,0,-3.14
48,2,0,-3.267456293106079,0,-3.14
49,2,0,-3.33915638923645,0,-3.14
50,2,0,-3.3899953365325928,0,-3.14
51,2,0,-3.4026050567626958,0,-3.14
52,2,0,-3.4247477054595947,0,-3.14
53,2,0,-3.488962173461914,0,-3.14
54,2,0,-3.564182996749878,0,-3.14
55,2,0,-3.6210994720458975,0,-3.14
56,2,0,-3.6641461849212646,0,-3.14
57,2,0,-3.70497989654541,0,-3.14
58,2,0,-3.754147291183472,0,-3.14
59,2,0,-3.799926519393921,0,-3.14
60,2,0,-3.8260793685913086,0,-3.14
61,2,0,-3.8446106910705566,0,-3.14
62,2,0,-3.8646295070648193,0,-3.14
63,2,0,-3.88790225982666,0,-3.14
64,2,0,-3.906182527542114,0,-3.14
65,2,0,-3.9137020111083984,0,-3.14
66,2,0,-3.9165327548980713,0,-3.14
67,2,0,-3.923683643341065,0,-3.14
68,2,0,-3.931765556335449,0,-3.14
69,2,0,-3.930077791213989,0,-3.14
70,2,0,-3.9306187629699703,0,-3.14
71,2,0,-3.936984062194824,0,-3.14
72,2,0,-3.9407668113708496,0,-3.14
73,2,0,-3.937216281890869,0,-3.14
74,2,0,-3.931517362594605,0,-3.14
75,2,0,-3.923136949539185,0,-3.14
76,2,0,-3.914205074310303,0,-3.14
77,2,0,-3.908149242401123,0,-3.14
78,2,0,-3.901120185852051,0,-3.14
79,2,0,-3.896198511123657,0,-3.14
80,2,0,-3.89342737197876,0,-3.14
81,2,0,-3.893052101135254,0,-3.14
82,2,0,-3.893533706665039,0,-3.14
83,2,0,-3.893477201461792,0,-3.14
84,2,0,-3.895074844360352,0,-3.14
85,2,0,-3.8964247703552246,0,-3.14
86,2,0,-3.8983795642852783,0,-3.14
87,2,0,-3.899403810501098,0,-3.14
88,2,0,-3.898557186126709,0,-3.14
89,2,0,-3.8978867530822754,0,-3.14
90,2,0,-3.902049779891968,0,-3.14
91,2,0,-3.906824350357056,0,-3.14
92,2,0,-3.908200025558472,0,-3.14
93,2,0,-3.909223794937134,0,-3.14
94,2,0,-3.911225080490112,0,-3.14
95,2,0,-3.914704561233521,0,-3.14
96,2,0,-3.915082454681397,0,-3.14
97,2,0,-3.9131340980529785,0,-3.14
98,2,0,-3.919188261032105,0,-3.14
99,2,0,-3.93646764755249,0,-3.14
