timestep,Ours_mean_mse,Ours_std_mse,PEARL_mean_mse,PEARL_std_mse,RL2_mean_mse,RL2_std_mse,CEMRL_mean_mse,CEMRL_std_mse,MELTS_mean_mse,MELTS_std_mse
0,38.96048858024258,30.309356332185413,39.205540828478334,31.096529076903696,39.20921147834157,30.908150516983095,38.92856652587445,30.58240390052354,39.0438215403195,30.60083702892644
1,36.457411186701,29.179421487688796,39.12813440882574,31.0419151573784,39.272620081563474,31.017673069020745,39.000515853811756,30.698000181016504,39.21941994463993,30.731365587376775
2,28.829234625835245,23.520698388847457,39.07428438161324,31.04467421069734,39.27241607148376,31.04682819419958,39.01168467155666,30.724092519383845,39.28331761134192,30.772084364776596
3,26.068186388619566,24.51543748635478,39.160679378154654,31.120075969769164,39.22601911054894,31.033058044355116,38.85482304831205,30.503948189060516,39.19632788127566,30.667999858182725
4,19.092828445113586,19.516024453126864,39.318406859919676,31.155447194557684,39.278174033730146,31.1701661723777,38.5437743347075,30.16159513748313,39.06028279237957,30.447738308844453
5,12.912534155456962,16.40626075299203,39.39178539532044,31.098983575966017,39.26251673473112,31.226229936564078,38.17741421839408,29.853314872076297,38.8793947344303,30.16880059598348
6,10.526590739458817,14.956399928139698,39.44194082612687,31.147638672389657,39.257503205882045,31.28651925342919,37.854089575069416,29.62796055018217,38.67800001660885,29.948292633095953
7,8.857080554094622,15.207992876357345,39.38186642157943,31.208023782536355,39.3816362103144,31.389865176223317,37.57622522592896,29.417847001975687,38.41246661913859,29.69337923062783
8,7.678736322661511,15.443877333638426,39.329684507659884,31.231772623919,39.467769332689286,31.375610397937244,37.26688290223891,29.215537928995605,38.20246153855063,29.440326717853548
9,7.262511403243015,15.376072845592274,39.4708931224089,31.273032108743845,39.54721458962463,31.40785848621378,36.86505818352967,29.009676169817165,38.11474340823443,29.280492115216575
10,4.8320643659423075,10.422090604686739,39.652868323485926,31.382652623888895,39.618278587674894,31.532075533187292,36.4045222281569,28.795109757535016,38.047638348556895,29.17252703402544
11,3.1974562739786894,6.51583469665358,39.82285729538237,31.571352231600716,39.71827944052132,31.7032714143111,35.936444712747694,28.547338002947583,37.942636652308316,29.096255566061803
12,3.08421325685614,6.291433795752362,40.00172905480027,31.658667501640757,39.81850769875527,31.654307186254485,35.484055761995954,28.285344263968554,37.73272484725112,29.007885614033526
13,2.4200984548306392,4.852095265577926,40.24338046727364,31.667272095721124,39.891827524886914,31.486747325947867,35.09144128783063,28.143164588700287,37.434337848108875,28.83040411706257
14,2.3011606548974783,4.640832184382792,40.55129908522566,31.862726202782405,40.00417537035598,31.49432486157344,34.65563413484351,28.108598761770008,37.13329127458285,28.597570298511148
15,0.9091907174410293,1.5937741184554048,40.708668196926666,31.99923976753722,40.23185902704593,31.7036210572653,34.107557448195934,28.027489568100194,36.88674844402979,28.402583584635117
16,0.7320908228690977,1.424314982451209,40.890856906912056,32.07937109781246,40.37766461035348,31.906014629425876,33.562495674020106,27.891836147739326,36.66169187512053,28.27313438644565
17,0.33902588890798363,0.6528734002557157,41.13795707628602,32.16164929034738,40.37203001127197,31.956793112948525,33.12992785583877,27.705506355070032,36.44196888580371,28.138802046096348
18,0.26931116111784126,0.5587379102729165,41.30784226092338,32.12099769630023,40.3811767719763,31.865554604807894,32.79320865344324,27.551611960460406,36.16727796303837,27.974790678722083
19,0.23128691655189895,0.4689926391267514,41.474321883599046,32.08119691968213,40.468349390246566,31.827969975348378,32.42594148257536,27.419159933832418,35.85023033823076,27.736052853860436
20,0.19580432069015177,0.4063959290466695,41.58402529153144,31.991301385063032,40.62194909470077,31.967251562859516,32.04235797874463,27.295756471014943,35.48879475601639,27.45279446972529
21,0.16460641426944483,0.33145006140783834,41.6575797034845,31.89737389980131,40.70588240380166,31.999734577128496,31.65385246011887,27.18334765096677,35.038304133319734,27.12488769241266
22,0.056804215667190155,0.068199676220577,41.787079386001906,31.922255050101842,40.75636522908241,31.901084320964337,31.283967320539382,27.08049331087912,34.58982366096179,26.861495356946822
23,0.026103296509462595,0.030283921094564046,42.01128733675642,31.881017095972513,40.89296114114128,31.900793272346522,30.945298456717403,27.016572199256146,34.21288415160544,26.687869412277948
24,0.013013055350903418,0.012008074335563845,42.30055191240572,31.903462694334333,41.075757194190025,31.945226293493267,30.563583508633215,26.85835562226519,33.841841981622245,26.574499142610428
25,0.01582240357731941,0.012287256218511068,42.5945679072548,32.11825639019157,41.17132598345296,31.873370053129324,30.111379199888024,26.54551626616257,33.44474058171075,26.466690152624984
26,0.011841277164759962,0.013665558313843047,42.86163427536247,32.25812580225474,41.23121007949894,31.76483870735803,29.699007048791998,26.290168197158486,33.00724407474446,26.32309591845679
27,0.0047239683641997045,0.005718345677182474,43.24349742708375,32.42350662075778,41.412303765161745,31.795925300118764,29.320663447145527,26.171199743235473,32.54245987618538,26.20728486448912
28,0.004132596560635864,0.007145837823744957,43.55269852716883,32.51509401352846,41.579961106831824,31.937432482434335,28.845604590909733,26.002466223354794,32.03208753581097,26.082274264135044
29,0.010351262229967942,0.014085167716423496,43.771723266683125,32.52953280873162,41.709748530553966,32.01807924892136,28.306120141454524,25.735111755446937,31.4875988542231,25.920168940981235
30,0.00923718231156941,0.009822104155331078,43.99927698798788,32.598898050166184,41.765968642258784,32.071438528671884,27.722516052626172,25.348890166370808,30.955299048410478,25.75825097597919
31,0.007998158172036049,0.008836242767626672,44.29068748693423,32.763825408265106,41.88134862251467,32.18001134585577,27.16221335329104,25.009274205130332,30.45337694521559,25.62929770981009
32,0.006997241515004775,0.007452283093840221,44.62168378773029,32.93052071541312,42.06210685207658,32.331393888431485,26.61649775462643,24.68857395174651,29.951505126815896,25.526755169417722
33,0.005746161791762919,0.005854092341502141,44.91040630448045,33.04330445004164,42.08892270316942,32.41512192191954,25.99709263983696,24.22210859048843,29.426144185812973,25.399190050272978
34,0.005174000367317652,0.004202435140693275,45.11505900790658,33.120662645895734,42.192957110337,32.477360815422124,25.31688618054899,23.67452294365639,28.87281797958498,25.226960374857857
35,0.005226989781554735,0.0032793322640583145,45.25319040880044,33.193309598048224,42.4144121256173,32.655222522367474,24.64392190157672,23.138767074782088,28.293624076693508,25.035162842710516
36,0.0046343003396584065,0.003598176983291522,45.5409223413217,33.399328647289124,42.475388117998946,32.810923685299706,23.997249766336594,22.73711980023929,27.6785862009537,24.849804473988492
37,0.005905975146389499,0.005623182891860195,45.84790976514755,33.598628458902795,42.57226692589572,32.96212144088387,23.42852031778977,22.435332251261208,27.035682273387348,24.644018377519327
38,0.018228777370912778,0.02125000966315241,46.196962007294864,33.89835608651818,42.69829229142434,33.063660394748744,22.9095091432727,22.123560789803225,26.38445837093647,24.40663074403518
39,0.014471925522436159,0.016811375128752547,46.657093731352184,34.32768497275893,42.72760903398285,33.059874231853456,22.374335105566445,21.658299937467135,25.756341390243264,24.174898105824926
40,0.005891045095493597,0.009282718870313825,47.044272903240945,34.68758401287656,42.818886419159455,33.13363351734175,21.79198866668517,21.031511882154415,25.128481766418698,23.95186244043336
41,0.005754694195205999,0.005821746620705371,47.32990328014155,34.99215641433464,42.88076624951597,33.21653470614941,21.182074868546735,20.479374053501985,24.45947258101177,23.67551095285089
42,0.010608224240241125,0.00768846194456445,47.51789897073803,35.154477084210406,43.02208443620956,33.385918415176775,20.59626400984572,20.09092664615914,23.762028819967643,23.356699434495503
43,0.01414944882127109,0.010684131376798288,47.82360218740823,35.41129374625414,43.166583728778924,33.48750805876464,20.007107702418587,19.724398482178366,23.10068646334403,23.06948237955584
44,0.030897230872203623,0.03990190694943653,48.25654101147158,35.900420647624394,43.16020750075709,33.35126944898349,19.4486393499525,19.319021546175914,22.50694059338137,22.813794271141877
45,0.02814282516729925,0.04204469638491952,48.62407759612328,36.480508840110005,43.072957119002936,33.27759149571993,18.918883318462136,18.876224195977066,21.935992490863764,22.547050604000564
46,0.026338490512642695,0.037105446474613314,48.851354198253105,36.819919387387415,43.03066396619066,33.39038329406225,18.392723642976776,18.446439405617973,21.327878216321228,22.237868940703297
47,0.01966509404090915,0.02598128030314606,49.13042873910837,37.00580303088475,43.05415319559094,33.50036734757274,17.90112290089967,18.079983662093905,20.688650518761094,21.914286283933016
48,0.004040570231627009,0.005697561358286354,49.48607121006957,37.34830040372738,43.06423239220398,33.5265604262362,17.395922775640585,17.636077485048457,20.084280114545596,21.63805889014583
49,0.006962918691859749,0.007522718425928201,49.91199136899226,37.9509516056773,43.090975256911,33.59353889361238,16.838020579325057,17.08451040448697,19.541529424309672,21.399512300877344
50,0.011312231335844589,0.010888846814600787,50.300831468226264,38.532548772883985,43.147326085733056,33.68354084703982,16.29970305445714,16.618943519054667,19.003920931737948,21.099091602882456
51,0.015713117769052615,0.017901940923354814,50.634476132204746,38.959050115054865,43.11285046108225,33.68612983318301,15.784418939727582,16.259783213488618,18.434982615650625,20.72041441952688
52,0.025706319409127876,0.02648860129789009,50.945871077390755,39.38612941664007,43.02407869633217,33.71294009377622,15.300995382063604,15.927201515906148,17.83869070456502,20.32701556603856
53,0.030937520322973366,0.023919227588606696,51.303806858722496,39.93747437248897,43.0059329945641,33.792467274758835,14.857870057324407,15.552911847513288,17.22508426796757,19.982319476498134
54,0.02815105153375651,0.023889127302042203,51.61304997257958,40.406941363408606,42.98172429763784,33.798048412770974,14.433500184998742,15.158975283632973,16.64221189915928,19.663046356309625
55,0.02686135028537072,0.02675507127203215,51.908687582625916,40.84718404715161,42.94125250246876,33.72226992945465,14.017080221474552,14.763063941571218,16.123446274503674,19.303341198909703
56,0.024206621636828244,0.024225396900597503,52.402653345268305,41.502022990343626,42.89327968341724,33.6383707570939,13.593420093053213,14.313556344978892,15.613704875806674,18.896459052093014
57,0.0248385981544695,0.018544374115469216,52.895636653958995,42.01553595937738,42.77777328141334,33.60426902102419,13.181596671029135,13.84331306182111,15.05693812154069,18.442223224811798
58,0.022983231183579606,0.023992875766422454,53.289311780160865,42.46498633107271,42.7059597253844,33.634375430865,12.780471919991307,13.382477893097745,14.497365600605592,18.05283081911425
59,0.02094451919852898,0.018585366745802252,53.68137839598165,43.16988107364185,42.65438432017915,33.49355312950426,12.393637742237788,12.959907691990088,13.918830922912681,17.70002386366476
