epoch,mean,std,upper,lower,mean_smooth,std_smooth,upper_smooth,lower_smooth
0,-202.01518666666666,3.1544645923093326,-198.86072207435734,-205.169651258976,-202.01518666666666,3.1544645923093326,-198.86072207435734,-205.169651258976
1,-202.33653333333334,0.729510226407646,-201.60702310692568,-203.066043559741,-202.17586,1.9419874093584892,-200.2338725906415,-204.1178474093585
2,-205.9971066666667,4.884212931735606,-201.11289373493108,-210.8813195984023,-203.4496088888889,2.9227292501508617,-200.52687963873802,-206.37233813903978
3,-264.59568666666667,102.94167425794684,-161.65401240871984,-367.5373609246135,-218.73612833333334,27.927465502099857,-190.80866283123348,-246.6635938354332
4,-230.23573333333331,45.18466647283382,-185.0510668604995,-275.42039980616715,-221.03604933333335,31.378905696246647,-189.65714363708668,-252.41495502958
5,-239.35940000000002,58.65933782315225,-180.70006217684778,-298.01873782315226,-224.0899411111111,35.92564438406425,-188.1642967270469,-260.01558549517534
6,-228.02534666666665,43.54273195512923,-184.48261471153742,-271.56807862179585,-224.65214190476192,37.01379975135925,-187.63834215340265,-261.66594165612116
7,-249.73881666666668,72.39185632732341,-177.34696033934327,-322.13067299399006,-227.78797625,41.43605682335477,-186.35191942664522,-269.22403307335475
8,-242.03933000000004,60.429907197660825,-181.60942280233922,-302.46923719766085,-229.37145999999998,43.546484642722106,-185.8249753572779,-272.91794464272215
9,-220.13433333333333,8.657443661712927,-211.4768896716204,-228.79177699504626,-228.44774733333333,40.05758054462119,-188.39016678871215,-268.5053278779545
10,-238.72092333333333,34.738216228811076,-203.98270710452226,-273.4591395621444,-229.38167242424242,39.574001970456635,-189.8076704537858,-268.9556743946991
11,-215.10420666666667,6.2394375747524995,-208.86476909191418,-221.34364424141916,-228.19188361111114,36.796121604147956,-191.39576200696317,-264.9880052152591
12,-213.03816333333336,5.772915284016672,-207.26524804931668,-218.81107861735003,-227.02621282051282,34.40972111798401,-192.6164917025288,-261.4359339384968
13,-208.5248466666667,8.888335242244933,-199.63651142442177,-217.4131819089116,-225.70468666666667,32.58676498400265,-193.11792168266402,-258.29145165066933
14,-220.23955333333333,20.51957603255568,-199.71997730077766,-240.759129365889,-225.34034444444444,31.78228572057285,-193.5580587238716,-257.1226301650173
15,-224.56431,28.30519684033305,-196.25911315966695,-252.86950684033306,-225.29184229166668,31.564967665557862,-193.7268746261088,-256.8568099572245
16,-233.55037000000002,40.17530241379523,-193.37506758620478,-273.7256724137952,-225.7776380392157,32.07145794486594,-193.70618009434975,-257.8490959840816
