epoch,mean,std,upper,lower,mean_smooth,std_smooth,upper_smooth,lower_smooth
0,-205.56322,7.338100197483,-198.225119802517,-212.901320197483,-205.56322,7.338100197483,-198.225119802517,-212.901320197483
1,-199.98361,0.10534474452957089,-199.87826525547044,-200.08895474452956,-202.773415,3.7217224710062853,-199.05169252899373,-206.49513747100627
2,-200.59963333333334,1.2528671152334279,-199.34676621809993,-201.85250044856676,-202.04882111111112,2.898770685748666,-199.15005042536245,-204.94759179685977
3,-200.57538999999997,0.932154911535625,-199.64323508846434,-201.5075449115356,-201.68046333333334,2.407116742195406,-199.27334659113794,-204.08758007552873
4,-201.87890000000002,2.9481362176636363,-198.93076378233638,-204.82703621766365,-201.72015066666668,2.5153206372890518,-199.20483002937763,-204.2354713039557
5,-217.98686333333333,33.03253468290972,-184.9543286504236,-251.01939801624306,-204.43126944444444,7.60152297822583,-196.8297464662186,-212.03279242267027
6,-240.8270633333333,78.47900212362816,-162.34806120970515,-319.3060654569615,-209.63066857142854,17.726877141854736,-191.90379142957383,-227.35754571328332
7,-208.37005666666664,31.570144950801755,-176.79991171586488,-239.9402016174684,-209.4730920833333,19.457285617973113,-190.0158064653602,-228.93037770130644
8,-190.60005666666666,17.22527107858199,-173.37478558808468,-207.82532774524864,-207.37608814814814,19.20928400248521,-188.16680414566292,-226.58537215063336
9,-185.61049000000003,5.6211259709421135,-179.98936402905792,-191.23161597094213,-205.19952833333332,17.850468199330898,-187.34906013400243,-223.04999653266424
10,-174.76120666666668,7.659247118518459,-167.10195954814822,-182.42045378518515,-202.43240818181815,16.92399355562068,-185.5084146261975,-219.35640173743886
11,-170.97824666666665,11.77222743157952,-159.20601923508713,-182.75047409824617,-199.81122805555557,16.49467971195058,-183.31654834360498,-216.30590776750614
12,-181.45649,17.52935643026577,-163.92713356973422,-198.98584643026578,-198.39932512820513,16.57427022874406,-181.82505489946107,-214.97359535694918
13,-182.11037333333334,34.262789598902096,-147.84758373443125,-216.37316293223543,-197.23582857142856,17.83773589804106,-179.3980926733875,-215.07356446946963
14,-207.19956666666667,37.426831492373665,-169.77273517429302,-244.62639815904032,-197.90007777777777,19.143675604329903,-178.75640217344787,-217.0437533821077
15,-210.68237333333332,44.42665205348061,-166.2557212798527,-255.10902538681393,-198.69897125,20.72386163240182,-177.97510961759818,-219.42283288240182
16,-187.67109000000002,14.585818584971499,-173.08527141502853,-202.2569085849715,-198.05027235294116,20.362800276670626,-177.68747207627055,-218.4130726296118
17,-224.03418666666667,60.1717021717363,-163.86248449493036,-284.205888838403,-199.49382314814815,22.574405937507606,-176.91941721064055,-222.06822908565576
18,-185.31372,26.729335247718016,-158.58438475228198,-212.043055247718,-198.74750192982455,22.79308642751868,-175.9544155023059,-221.54058835734324
19,-197.03038333333333,35.812399061560136,-161.2179842717732,-232.84278239489348,-198.661646,23.444052059220752,-175.21759394077924,-222.10569805922077
20,-186.8876733333333,40.51817738292942,-146.3694959504039,-227.40585071626273,-198.10098063492063,24.257105646064026,-173.8438749888566,-222.35808628098468
21,-179.05335,44.79871482439312,-134.25463517560686,-223.85206482439312,-197.23517924242424,25.19081515416989,-172.04436408825435,-222.42599439659415
22,-160.74814333333333,23.564174322416502,-137.18396901091683,-184.31231765574984,-195.6487863768116,25.12009163974583,-170.52869473706576,-220.7688780165574
23,-158.24275666666665,25.30932249710832,-132.93343416955832,-183.55207916377498,-194.09020180555555,25.1279762588026,-168.96222554675296,-219.21817806435817
24,-156.76968666666667,17.674060259423513,-139.09562640724317,-174.44374692609017,-192.59738119999997,24.829819618827436,-167.76756158117257,-217.42720081882743
25,-137.97527000000002,11.08097919203443,-126.89429080796559,-149.05624919203444,-190.4965307692308,24.30101806395078,-166.19551270527998,-214.79754883318157
26,-155.39129333333332,31.111972387325967,-124.27932094600736,-186.5032657206593,-189.19633679012347,24.553275631483196,-164.64306115864025,-213.74961242160666
27,-150.32776333333334,24.60037731623102,-125.72738601710232,-174.92814064956437,-187.80817345238094,24.554957834509906,-163.25321561787106,-212.36313128689085
28,-146.86718666666667,24.038585762530488,-122.82860090413618,-170.90577242919716,-186.39641528735632,24.537151900993376,-161.85926338636295,-210.93356718834968
29,-135.76559999999998,2.333729383797517,-133.43187061620247,-138.09932938379748,-184.70872144444445,23.797037817086846,-160.91168362735758,-208.5057592615313
30,-131.6025666666667,5.733691104012615,-125.86887556265407,-137.3362577706793,-182.2433663333333,23.743557513971165,-158.49980881936216,-205.9869238473045
31,-128.95964666666666,5.383141441252809,-123.57650522541385,-134.34278810791946,-179.87590088888888,23.919484070528608,-155.95641681836028,-203.79538495941748
32,-137.25395666666668,4.486485461966116,-132.76747120470057,-141.7404421286328,-177.76437833333333,24.02727134875303,-153.73710698458032,-201.79164968208636
