epoch,mean,std,upper,lower,mean_smooth,std_smooth,upper_smooth,lower_smooth
0,-207.16162,11.442669223432976,-195.71895077656703,-218.60428922343297,-207.16162,11.442669223432976,-195.71895077656703,-218.60428922343297
1,-202.5155,3.324572207532878,-199.19092779246714,-205.84007220753287,-204.83856,7.383620715482927,-197.45493928451708,-212.22218071548292
2,-212.03358333333335,5.315484420533402,-206.71809891279995,-217.34906775386676,-207.23690111111114,6.694241950499752,-200.54265916061138,-213.93114306161087
3,-208.96626,10.31126508452284,-198.65499491547718,-219.27752508452284,-207.66924083333333,7.598497734005524,-200.0707430993278,-215.26773856733885
4,-202.17808333333335,3.194806204925951,-198.9832771284074,-205.3728895382593,-206.57100933333336,6.717759428189609,-199.85324990514374,-213.28876876152293
5,-198.13561,2.1185647990089946,-196.01704520099102,-200.254174799009,-205.16510944444448,5.95122698999284,-199.21388245445164,-211.11633643443727
6,-187.68474333333333,12.51188986868224,-175.1728534646511,-200.19663320201556,-202.6679142857143,6.888464544091327,-195.77944974162298,-209.55637882980562
7,-204.13287333333332,32.26227374669109,-171.87059958664224,-236.3951470800244,-202.85103416666666,10.060190694416297,-192.79084347225037,-212.91122486108296
8,-188.53490333333332,20.58575509002362,-167.9491482433097,-209.12065842335693,-201.26035296296297,11.229697849483777,-190.03065511347918,-212.49005081244675
9,-194.04514000000003,8.420983329463368,-185.62415667053665,-202.46612332946341,-200.53883166666668,10.948826397481737,-189.59000526918493,-211.4876580641484
10,-173.31007333333332,7.550627821196953,-165.75944551213638,-180.86070115453026,-198.06349,10.63989925418312,-187.4235907458169,-208.70338925418312
11,-175.6629333333333,10.171757529858516,-165.4911758034748,-185.83469086319184,-196.19677694444445,10.600887443822737,-185.59588950062172,-206.79766438826718
12,-179.37515666666664,22.199422032932144,-157.1757346337345,-201.5745786995988,-194.90280615384614,11.493082412215767,-183.4097237416304,-206.39588856606193
13,-210.68218666666667,48.13794294553968,-162.54424372112697,-258.82012961220636,-196.02990476190476,14.110572450310332,-181.91933231159442,-210.1404772122151
14,-176.56841999999997,11.018268944389584,-165.5501510556104,-187.58668894438955,-194.73247244444443,13.90441888324895,-180.8280535611955,-208.63689132769338
15,-174.78098,11.751716735358286,-163.0292632646417,-186.5326967353583,-193.48550416666666,13.769874999005783,-179.7156291676609,-207.25537916567245
16,-152.87859333333333,29.936573416141563,-122.94201991719177,-182.81516674947488,-191.09686235294117,14.7208572588373,-176.3760050941039,-205.81771961177847
17,-157.11014,2.3791609355401024,-154.7309790644599,-159.48930093554011,-189.2087111111111,14.035207463098565,-175.17350364801254,-203.2439185742097
18,-155.66136333333333,26.04785002110987,-129.61351331222346,-181.7092133544432,-187.44306122807018,14.667451808257056,-172.77560941981312,-202.11051303632723
