epoch,mean_smooth,upper_smooth,lower_smooth
1,-1792.4683674396686,-1653.1604372340596,-1931.7762976452773
5,-3066.423622325289,-2812.843917753444,-3320.003326897134
9,-3132.0476708102283,-2859.0117215867263,-3405.0836200337308
13,-2942.2198624831512,-2642.1481994612777,-3242.2915255050243
17,-2819.2162341073777,-2460.4782832707406,-3177.9541849440147
21,-2628.9221750305132,-2241.144345870423,-3016.700004190604
25,-2429.8310580913903,-2060.6740176642534,-2798.9880985185273
29,-2276.1276128844893,-1913.0105573119426,-2639.244668457036
33,-2136.3068284911965,-1782.3282790541234,-2490.285377928269
37,-2023.197879249982,-1674.2959591382403,-2372.099799361724
41,-1925.287324875511,-1595.5012619563868,-2255.0733877946354
45,-1847.5958858931551,-1523.9949973616253,-2171.1967744246845
49,-1780.3335974532229,-1472.53102752379,-2088.1361673826555
53,-1650.4913167408383,-1340.9080319386285,-1960.0746015430484
57,-1475.6652272445153,-1181.069992648921,-1770.2604618401092
61,-1301.4661431139086,-1010.9766124294661,-1591.9556737983512
65,-1181.980955369695,-921.7839103464228,-1442.1780003929673
69,-1078.3583624776004,-845.9513607162819,-1310.765364238919
73,-1031.551567439122,-805.6619585063085,-1257.4411763719356
77,-992.2739583459204,-782.4847435345134,-1202.0631731573271
81,-964.8365886894519,-763.3562699106845,-1166.3169074682194
85,-950.9429969578566,-751.2082812416319,-1150.6777126740817
89,-937.6975920489224,-748.6478541491559,-1126.7473299486887
93,-920.3850570933847,-731.1948115903593,-1109.5753025964102
97,-909.7601995146317,-722.9960094870443,-1096.524389542219
101,-907.9555647896316,-706.195108340235,-1109.7160212390284
105,-896.0049900209773,-705.7673634079314,-1086.242616634023
109,-896.6523096640703,-710.4954052179215,-1082.8092141102193
113,-907.3411426783448,-724.3623567347361,-1090.3199286219535
117,-900.1370156009851,-711.5926765228741,-1088.6813546790963
121,-903.7248680651315,-711.6893929092482,-1095.7603432210149
125,-908.967458113896,-717.2295319503754,-1100.7053842774167
129,-915.6601942538377,-722.9861944049867,-1108.3341941026886
133,-913.527145445828,-729.974967766474,-1097.0793231251819
137,-907.8437619190901,-715.5180212085903,-1100.16950262959
141,-917.4062619608486,-728.1686041331616,-1106.6439197885359
145,-924.5146761324736,-739.4989007493107,-1109.5304515156363
149,-918.3719826054459,-735.9671173860992,-1100.7768478247924
153,-916.2232339514266,-740.6120388412506,-1091.8344290616023
157,-910.954620841294,-734.0575227429857,-1087.8517189396023
161,-914.5152921995063,-734.570947365006,-1094.4596370340068
165,-912.1207617819646,-733.8096835719781,-1090.431839991951
169,-902.6436783998364,-733.4544262340102,-1071.8329305656625
173,-894.7608917634432,-733.1117059525819,-1056.4100775743045
177,-883.9327420476359,-724.2957097687507,-1043.5697743265212
181,-882.7551700094434,-726.176955320799,-1039.3333846980877
185,-876.3959368525797,-726.8864746633651,-1025.9053990417942
189,-865.086758013762,-727.2810932534444,-1002.8924227740796
193,-875.5072046823307,-729.2162058568783,-1021.798203507783
197,-872.5263635236195,-719.0015723554665,-1026.0511546917726
201,-870.758298996983,-723.027831438606,-1018.4887665553598
205,-873.6546901111162,-727.3265158716491,-1019.9828643505832
209,-878.2331302669002,-733.0249226598436,-1023.4413378739566
213,-873.3512600984823,-729.9959640598338,-1016.7065561371306
217,-873.0637658174584,-734.23799142703,-1011.8895402078866
221,-879.8179693221153,-740.5881286887968,-1019.0478099554339
225,-884.7122957827737,-739.8826502899033,-1029.541941275644
229,-880.6403263226334,-735.9613545830882,-1025.3192980621786
233,-885.3542398879819,-733.3502546604846,-1037.3582251154792
237,-896.9549016133445,-742.1081712383,-1051.801631988389
241,-899.4059284262196,-741.7251999391436,-1057.0866569132957
245,-894.8632931491381,-744.8629405266512,-1044.8636457716252
249,-895.6484305798309,-742.8113356884896,-1048.4855254711722
253,-890.4459543015524,-732.5167660849137,-1048.3751425181913
257,-887.1762443005431,-726.0481340511652,-1048.304354549921
261,-889.5179030842472,-725.4136200332405,-1053.622186135254
265,-887.1972394085516,-719.4657332500453,-1054.9287455670578
269,-886.7248350914404,-713.7502561911363,-1059.6994139917442
273,-882.4858615244584,-714.669111925023,-1050.3026111238937
277,-883.0363078412804,-717.5757591562245,-1048.4968565263362
281,-881.7252216714043,-724.6419029133177,-1038.808540429491
285,-879.1328789687337,-721.6183294759,-1036.6474284615674
289,-869.9731735204793,-712.6421259726862,-1027.3042210682722
293,-864.2718839244304,-710.2044185093334,-1018.3393493395274
295,-867.5253551502706,-710.0526003113416,-1024.9981099891995
