epoch,mean,std,upper,lower,mean_smooth,std_smooth,upper_smooth,lower_smooth
0,-206.88671,5.563493794029078,-201.3232162059709,-212.45020379402908,-206.88671,5.563493794029078,-201.3232162059709,-212.45020379402908
1,-200.9496525,1.143275583353231,-199.80637691664677,-202.09292808335326,-203.91818125,3.353384688691155,-200.56479656130884,-207.27156593869117
2,-201.148575,2.3311212390249767,-198.817453760975,-203.47969623902497,-202.99497916666667,3.012630205469095,-199.98234896119757,-206.00760937213576
3,-201.616365,3.0722624459996983,-198.5441025540003,-204.6886274459997,-202.650325625,3.027538265601746,-199.62278735939825,-205.67786389060177
4,-199.8313275,0.6899801094415642,-199.14134739055842,-200.52130760944155,-202.086526,2.56002663436971,-199.5264993656303,-204.6465526343697
5,-214.7884175,32.16788581564165,-182.62053168435835,-246.95630331564166,-204.20350791666667,7.494669831248366,-196.70883808541828,-211.69817774791503
6,-242.266435,63.35917844136844,-178.90725655863156,-305.62561344136844,-209.64106892857143,15.475313918408377,-194.16575501016305,-225.11638284697983
7,-201.00440500000002,11.90683433372476,-189.09757066627526,-212.91123933372478,-208.5614859375,15.029253970322925,-193.53223196717707,-223.59073990782292
8,-248.6447675,134.19914511520665,-114.44562238479335,-382.84391261520665,-213.01518388888888,28.270352986421116,-184.74483090246775,-241.28553687531
9,-255.9319175,142.15510664878144,-113.77681085121856,-398.08702414878144,-217.30685724999998,39.65882835265715,-177.64802889734284,-256.9656856026571
10,-236.6253875,98.36071584275956,-138.26467165724043,-334.9861033427595,-219.06308727272727,44.9953635790301,-174.06772369369716,-264.05845085175736
11,-242.90775250000002,84.6177995972874,-158.28995290271263,-327.5255520972874,-221.0501427083333,48.2972332472182,-172.75290946111514,-269.3473759555515
12,-179.1453675,20.567473253953473,-158.57789424604653,-199.71284075395346,-217.82669846153846,46.16417478619784,-171.66252367534065,-263.9908732477363
13,-178.47549500000002,22.94192775504345,-155.53356724495657,-201.41742275504348,-215.01589821428573,44.5054428554011,-170.51045535888463,-259.5213410696868
